Approved symbol	Approved name	Status	Alias symbols	Gene group name
CNKSR3	CNKSR family member 3	Approved	FLJ31349	PDZ domain containing|Sterile alpha motif domain containing
CNMD	chondromodulin	Approved	"CHM-I, CHM1, BRICD3"	BRICHOS domain containing
CNN1	calponin 1	Approved	"SMCC, Sm-Calp"	
CNN2	calponin 2	Approved		
CNN2P1	calponin 2 pseudogene 1	Approved		
CNN2P2	calponin 2 pseudogene 2	Approved		
CNN2P3	calponin 2 pseudogene 3	Approved		
CNN2P4	calponin 2 pseudogene 4	Approved		
CNN2P5	"symbol withdrawn, see [HGNC:39529](/data/gene-symbol-report/#!/hgnc_id/HGNC:39529)"	Symbol Withdrawn		
CNN2P6	calponin 2 pseudogene 6	Approved		
CNN2P7	calponin 2 pseudogene 7	Approved		
CNN2P8	calponin 2 pseudogene 8	Approved		
CNN2P9	calponin 2 pseudogene 9	Approved		
CNN2P10	calponin 2 pseudogene 10	Approved		
CNN2P11	calponin 2 pseudogene 11	Approved		
CNN2P12	calponin 2 pseudogene 12	Approved		
CNN3	calponin 3	Approved		
CNN3-DT	CNN3 divergent transcript	Approved		Divergent transcripts
CNN3P1	calponin 3 pseudogene 1	Approved		
CNNM1	cyclin and CBS domain divalent metal cation transport mediator 1	Approved		Cyclin and CBS domain divalent metal cation transport mediators
CNNM2	cyclin and CBS domain divalent metal cation transport mediator 2	Approved		Cyclin and CBS domain divalent metal cation transport mediators
CNNM3	cyclin and CBS domain divalent metal cation transport mediator 3	Approved		Cyclin and CBS domain divalent metal cation transport mediators
CNNM3-DT	CNNM3 divergent transcript	Approved	LOC100506036	Divergent transcripts
CNNM4	cyclin and CBS domain divalent metal cation transport mediator 4	Approved	KIAA1592	Cyclin and CBS domain divalent metal cation transport mediators|MicroRNA protein coding host genes
CNOT1	CCR4-NOT transcription complex subunit 1	Approved	"CDC39, NOT1H, KIAA1007, AD-005"	Small nucleolar RNA protein coding host genes|Armadillo like helical domain containing|CCR4-NOT transcription complex
CNOT2	CCR4-NOT transcription complex subunit 2	Approved	"CDC36, NOT2H"	CCR4-NOT transcription complex
CNOT3	CCR4-NOT transcription complex subunit 3	Approved	"NOT3H, KIAA0691, LENG2"	CCR4-NOT transcription complex
CNOT4	CCR4-NOT transcription complex subunit 4	Approved	"CLONE243, NOT4H"	CCR4-NOT transcription complex|RNA binding motif containing|Ring finger proteins
CNOT4P1	CCR4-NOT transcription complex subunit 4 pseudogene 1	Approved		
CNOT5	"CCR4-NOT transcription complex, subunit 5"	Entry Withdrawn		
CNOT6	CCR4-NOT transcription complex subunit 6	Approved	"CCR4, KIAA1194, Ccr4a"	CCR4-NOT transcription complex
CNOT6L	CCR4-NOT transcription complex subunit 6 like	Approved	"DKFZp434K098, Ccr4b"	CCR4-NOT transcription complex
CNOT6LP1	CNOT6L pseudogene 1	Approved		
CNOT7	CCR4-NOT transcription complex subunit 7	Approved		CCR4-NOT transcription complex
CNOT7P1	CCR4-NOT transcription complex subunit 7 pseudogene 1	Approved		
CNOT7P2	CCR4-NOT transcription complex subunit 7 pseudogene 2	Approved		
CNOT8	CCR4-NOT transcription complex subunit 8	Approved	"CAF1, hCAF1, CALIF"	CCR4-NOT transcription complex
CNOT9	CCR4-NOT transcription complex subunit 9	Approved	"RCD1, RCD1+, CT129, CAF40"	Armadillo like helical domain containing|CCR4-NOT transcription complex
CNOT10	CCR4-NOT transcription complex subunit 10	Approved	"FLJ12890, FLJ13165"	Tetratricopeptide repeat domain containing|CCR4-NOT transcription complex
CNOT10-AS1	CNOT10 antisense RNA 1	Approved		Antisense RNAs
CNOT11	CCR4-NOT transcription complex subunit 11	Approved	C40	CCR4-NOT transcription complex
CNP	"2',3'-cyclic nucleotide 3' phosphodiesterase"	Approved		
CNPPD1	cyclin Pas1/PHO80 domain containing 1	Approved	CGI-57	
CNPY1	canopy FGF signaling regulator 1	Approved		
CNPY2	canopy FGF signaling regulator 2	Approved	"HP10390, ZSIG9"	
CNPY3	canopy FGF signaling regulator 3	Approved	CAG4A	Trinucleotide repeat containing
CNPY4	canopy FGF signaling regulator 4	Approved	"MGC40499, PRAT4B"	
CNR1	cannabinoid receptor 1	Approved	"CB1K5, CB-R, CB1, CANN6, CB1A"	Cannabinoid receptors
CNR2	cannabinoid receptor 2	Approved	CB2	Cannabinoid receptors
CNRIP1	cannabinoid receptor interacting protein 1	Approved	"DKFZP566K1924, CRIP1, CRIP1a, CRIP1b"	
CNRS1	"symbol withdrawn, see [HGNC:8662](/data/gene-symbol-report/#!/hgnc_id/HGNC:8662)"	Symbol Withdrawn		
CNRS2	"symbol withdrawn, see [HGNC:8672](/data/gene-symbol-report/#!/hgnc_id/HGNC:8672)"	Symbol Withdrawn	CNR2	
CNRS4	"symbol withdrawn, see [HGNC:8673](/data/gene-symbol-report/#!/hgnc_id/HGNC:8673)"	Symbol Withdrawn	CNR4	
CNRS5	"symbol withdrawn, see [HGNC:8667](/data/gene-symbol-report/#!/hgnc_id/HGNC:8667)"	Symbol Withdrawn	CNR5	
CNRS6	"symbol withdrawn, see [HGNC:8671](/data/gene-symbol-report/#!/hgnc_id/HGNC:8671)"	Symbol Withdrawn	CNR6	
CNRS7	"symbol withdrawn, see [HGNC:8665](/data/gene-symbol-report/#!/hgnc_id/HGNC:8665)"	Symbol Withdrawn	CNR7	
CNRS8	"symbol withdrawn, see [HGNC:8664](/data/gene-symbol-report/#!/hgnc_id/HGNC:8664)"	Symbol Withdrawn	CNR8	
CNST	"consortin, connexin sorting protein"	Approved	"FLJ32001, PPP1R64"	Protein phosphatase 1 regulatory subunits
CNTD1	cyclin N-terminal domain containing 1	Approved	FLJ40137	
CNTF	ciliary neurotrophic factor	Approved	HCNTF	Interleukin 6 type cytokine family
CNTFR	ciliary neurotrophic factor receptor	Approved		Fibronectin type III domain containing|Immunoglobulin like domain containing
CNTFR-AS1	CNTFR antisense RNA 1	Approved		Antisense RNAs
CNTLN	centlein	Approved	"FLJ20276, bA340N12.1, OTTHUMG00000019597"	
CNTN1	contactin 1	Approved	"F3, GP135"	I-set domain containing|Contactins
CNTN2	contactin 2	Approved	"TAG-1, TAX1"	Contactins|I-set domain containing
CNTN3	contactin 3	Approved	BIG-1	I-set domain containing|Contactins
CNTN4	contactin 4	Approved	BIG-2	Contactins|I-set domain containing
CNTN4-AS1	CNTN4 antisense RNA 1	Approved		Antisense RNAs
CNTN4-AS2	CNTN4 antisense RNA 2	Approved		Antisense RNAs
CNTN5	contactin 5	Approved	"NB-2, hNB-2"	I-set domain containing|Contactins
CNTN6	contactin 6	Approved	NB-3	Contactins|I-set domain containing
CNTNAP1	contactin associated protein 1	Approved	"p190, Caspr, CNTNAP"	Contactin associated protein family
CNTNAP2	contactin associated protein 2	Approved	"Caspr2, KIAA0868, NRXN4"	Contactin associated protein family
CNTNAP2-AS1	CNTNAP2 antisense RNA 1	Approved		Antisense RNAs
CNTNAP3	contactin associated protein family member 3	Approved	"CASPR3, KIAA1714, FLJ14195, CNTNAP3A"	Contactin associated protein family
CNTNAP3B	contactin associated protein family member 3B	Approved		Contactin associated protein family
CNTNAP3C	contactin associated protein family member 3C	Approved		Contactin associated protein family
CNTNAP3P1	CNTNAP3 pseudogene 1	Approved		
CNTNAP3P2	CNTNAP3 pseudogene 2	Approved		
CNTNAP3P3	CNTNAP3 pseudogene 3	Approved		
CNTNAP3P4	CNTNAP3 pseudogene 4	Approved		
CNTNAP3P5	CNTNAP3 pseudogene 5	Approved		
CNTNAP3P6	CNTNAP3 pseudogene 6	Approved		
CNTNAP3P7	CNTNAP3 pseudogene 7	Approved		
CNTNAP3P8	CNTNAP3 pseudogene 8	Approved		
CNTNAP3P9	CNTNAP3 pseudogene 9	Approved		
CNTNAP4	contactin associated protein family member 4	Approved	"CASPR4, KIAA1763"	Contactin associated protein family
CNTNAP5	contactin associated protein family member 5	Approved	"caspr5, FLJ31966"	Contactin associated protein family
CNTRL	centriolin	Approved		
CNTROB	"centrobin, centriole duplication and spindle assembly protein"	Approved	"LIP8, PP1221"	
CO	"symbol withdrawn, see [HGNC:633](/data/gene-symbol-report/#!/hgnc_id/HGNC:633)"	Symbol Withdrawn		
COA1	cytochrome c oxidase assembly factor 1 homolog	Approved	"FLJ10803, MITRAC15"	Mitochondrial respiratory chain complex assembly factors
COA3	cytochrome c oxidase assembly factor 3	Approved	"HSPC009, MITRAC12, COX25"	Mitochondrial respiratory chain complex assembly factors
COA4	cytochrome c oxidase assembly factor 4 homolog	Approved	"E2IG2, CMC3"	Coiled-coil-helix-coiled-coil-helix domain containing proteins|Mitochondrial respiratory chain complex assembly factors
COA5	cytochrome c oxidase assembly factor 5	Approved	"MGC52110, FLJ27524, Pet191"	Mitochondrial respiratory chain complex assembly factors
COA6	cytochrome c oxidase assembly factor 6	Approved		Mitochondrial respiratory chain complex assembly factors
COA6-AS1	COA6 antisense RNA 1	Approved		Antisense RNAs
COA7	cytochrome c oxidase assembly factor 7 (putative)	Approved	"FLJ12439, RESA1"	Mitochondrial respiratory chain complex assembly factors
COA8	cytochrome c oxidase assembly factor 8	Approved	"MGC2562, APOP-1"	Mitochondrial respiratory chain complex assembly factors
COASY	Coenzyme A synthase	Approved	"DPCK, NBP, PPAT"	
COBL	cordon-bleu WH2 repeat protein	Approved	KIAA0633	
COBLL1	cordon-bleu WH2 repeat protein like 1	Approved	KIAA0977	Small nucleolar RNA protein coding host genes
COBLP1	COBL pseudogene 1	Approved		
COCA1	"symbol withdrawn, see [HGNC:7325](/data/gene-symbol-report/#!/hgnc_id/HGNC:7325)"	Symbol Withdrawn		
COCA2	"symbol withdrawn, see [HGNC:7127](/data/gene-symbol-report/#!/hgnc_id/HGNC:7127)"	Symbol Withdrawn		
COCH	cochlin	Approved	COCH-5B2	
COD1	"symbol withdrawn, see [HGNC:10295](/data/gene-symbol-report/#!/hgnc_id/HGNC:10295)"	Symbol Withdrawn		
COD2	cone dystrophy 2 (X-linked)	Entry Withdrawn	CORDX2	
COG1	component of oligomeric golgi complex 1	Approved	KIAA1381	Components of oligomeric golgi complex
COG2	component of oligomeric golgi complex 2	Approved		Components of oligomeric golgi complex
COG3	component of oligomeric golgi complex 3	Approved	SEC34	Components of oligomeric golgi complex
COG4	component of oligomeric golgi complex 4	Approved	"COD1, DKFZP586E1519"	Components of oligomeric golgi complex
COG5	component of oligomeric golgi complex 5	Approved	GTC90	Components of oligomeric golgi complex
COG6	component of oligomeric golgi complex 6	Approved	"COD2, KIAA1134"	Components of oligomeric golgi complex
COG7	component of oligomeric golgi complex 7	Approved		Components of oligomeric golgi complex
COG8	component of oligomeric golgi complex 8	Approved	"FLJ22315, DOR1"	Components of oligomeric golgi complex
COIL	coilin	Approved	"CLN80, p80-coilin"	
COILP1	coilin pseudogene 1	Approved		
COILP2	coilin pseudogene 2	Approved		
COL1A1	collagen type I alpha 1 chain	Approved	OI4	Collagens
COL1A2	collagen type I alpha 2 chain	Approved		Collagens
COL1A2-AS1	COL1A2 antisense RNA 1	Approved	"TCONS_00013888, lncRNA8975-1"	Antisense RNAs
COL1AR	collagen type I alpha receptor	Approved		
COL2A1	collagen type II alpha 1 chain	Approved	STL1	Collagens
COL3A1	collagen type III alpha 1 chain	Approved		Collagens|MicroRNA protein coding host genes
COL4A1	collagen type IV alpha 1 chain	Approved		Collagens
COL4A2	collagen type IV alpha 2 chain	Approved	"FLJ22259, DKFZp686I14213"	Collagens|MicroRNA protein coding host genes
COL4A2-AS1	COL4A2 antisense RNA 1	Approved		Antisense RNAs
COL4A2-AS2	COL4A2 antisense 2	Approved		
COL4A3	collagen type IV alpha 3 chain	Approved		Collagens
COL4A4	collagen type IV alpha 4 chain	Approved	CA44	Collagens
COL4A5	collagen type IV alpha 5 chain	Approved		Collagens
COL4A6	collagen type IV alpha 6 chain	Approved		Collagens
COL5A1	collagen type V alpha 1 chain	Approved		Collagens
COL5A1-AS1	COL5A1 antisense RNA 1	Approved	bA54A22.4	Antisense RNAs
COL5A2	collagen type V alpha 2 chain	Approved		Collagens|MicroRNA protein coding host genes
COL5A3	collagen type V alpha 3 chain	Approved		Collagens
COL6A1	collagen type VI alpha 1 chain	Approved		Collagens
COL6A2	collagen type VI alpha 2 chain	Approved		Collagens
COL6A3	collagen type VI alpha 3 chain	Approved		Collagens
COL6A4P1	collagen type VI alpha 4 pseudogene 1	Approved	"VWA6, DIVA, COL6A4, COL6A4P"	Collagens
COL6A4P2	collagen type VI alpha 4 pseudogene 2	Approved	COL6A4	Collagens
COL6A5	collagen type VI alpha 5 chain	Approved	"FLJ35880, VWA4"	Collagens
COL6A6	collagen type VI alpha 6 chain	Approved		Collagens
COL7A1	collagen type VII alpha 1 chain	Approved		Collagens|MicroRNA protein coding host genes|Fibronectin type III domain containing
COL8A1	collagen type VIII alpha 1 chain	Approved	MGC9568	Collagens|C1q domain containing
COL8A2	collagen type VIII alpha 2 chain	Approved	"PPCD, FECD1, PPCD2"	C1q domain containing|Collagens
COL9A1	collagen type IX alpha 1 chain	Approved		Collagens|Collagen proteoglycans
COL9A2	collagen type IX alpha 2 chain	Approved	MED	Collagen proteoglycans|Collagens
COL9A3	collagen type IX alpha 3 chain	Approved	"IDD, MED, EDM3, FLJ90759, DJ885L7.4.1"	Collagens|Collagen proteoglycans
COL10A1	collagen type X alpha 1 chain	Approved		Collagens|C1q domain containing
COL11A1	collagen type XI alpha 1 chain	Approved	"STL2, CO11A1"	Collagens
COL11A2	collagen type XI alpha 2 chain	Approved	HKE5	Collagens
COL11A2P1	collagen type XI alpha 2 pseudogene 1	Approved	cD0826Q1.1	
COL12A1	collagen type XII alpha 1 chain	Approved		Collagens|Collagen proteoglycans|Fibronectin type III domain containing
COL12A1L	"symbol withdrawn, see [HGNC:2188](/data/gene-symbol-report/#!/hgnc_id/HGNC:2188)"	Symbol Withdrawn		
COL13A1	collagen type XIII alpha 1 chain	Approved		Collagens
COL14A1	collagen type XIV alpha 1 chain	Approved		Collagens|Fibronectin type III domain containing
COL15A1	collagen type XV alpha 1 chain	Approved		Collagens|Collagen proteoglycans
COL16A1	collagen type XVI alpha 1 chain	Approved		Collagens
COL17A1	collagen type XVII alpha 1 chain	Approved	BP180	Collagens|MicroRNA protein coding host genes
COL18A1	collagen type XVIII alpha 1 chain	Approved	"KS, KNO1"	MicroRNA protein coding host genes|Collagens
COL18A1-AS1	COL18A1 antisense RNA 1	Approved	PRED80	Antisense RNAs
COL18A1-AS2	COL18A1 antisense RNA 2	Approved		Antisense RNAs
COL19A1	collagen type XIX alpha 1 chain	Approved		Collagens
COL20A1	collagen type XX alpha 1 chain	Approved	KIAA1510	Collagens|Fibronectin type III domain containing
COL21A1	collagen type XXI alpha 1 chain	Approved		Collagens
COL22A1	collagen type XXII alpha 1 chain	Approved		Collagens
COL23A1	collagen type XXIII alpha 1 chain	Approved	DKFZp434K0621	Collagens
COL24A1	collagen type XXIV alpha 1 chain	Approved		Collagens
COL25A1	collagen type XXV alpha 1 chain	Approved		Collagens
COL25A1-DT	COL25A1 divergent transcript	Approved	FLJ45231	Divergent transcripts
COL26A1	collagen type XXVI alpha 1 chain	Approved	"Emu2, EMI6"	Collagens|EMI domain containing
COL27A1	collagen type XXVII alpha 1 chain	Approved	"KIAA1870, MGC11337, FLJ11895"	Collagens|MicroRNA protein coding host genes
COL28A1	collagen type XXVIII alpha 1 chain	Approved		Collagens
COLCA1	colorectal cancer associated 1	Approved	"FLJ45803, CASC12"	
COLCA2	colorectal cancer associated 2	Approved	CASC13	
COLEC10	collectin subfamily member 10	Approved	CL-L1	Collectins|C-type lectin domain containing|Complement system activation components
COLEC11	collectin subfamily member 11	Approved	"MGC3279, CL-K1"	Collectins|Complement system activation components|C-type lectin domain containing
COLEC12	collectin subfamily member 12	Approved	"SRCL, CL-P1, SCARA4"	Collectins|Scavenger receptors|C-type lectin domain containing
COLGALT1	collagen beta(1-O)galactosyltransferase 1	Approved	FLJ22329	Collagen beta(1-O)galactosyltransferases
COLGALT2	collagen beta(1-O)galactosyltransferase 2	Approved	KIAA0584	Collagen beta(1-O)galactosyltransferases
COLL6	"symbol withdrawn, see [HGNC:2186](/data/gene-symbol-report/#!/hgnc_id/HGNC:2186)"	Symbol Withdrawn		
COLOT1	"collagen (type VI, alpha 1), overlapping transcript 1"	Entry Withdrawn	KGC1	
COLQ	collagen like tail subunit of asymmetric acetylcholinesterase	Approved	EAD	MicroRNA protein coding host genes
COMETT	cytosolic oncogenic antisense to MET transcript	Approved	COMET	Long non-coding RNAs with non-systematic symbols
COMMD1	copper metabolism domain containing 1	Approved	"MURR1, MGC27155"	CCC complex|COMM domain containing
COMMD2	COMM domain containing 2	Approved	HSPC042	COMM domain containing
COMMD3	COMM domain containing 3	Approved	BUP	COMM domain containing|CCC complex
COMMD3-BMI1	COMMD3-BMI1 readthrough	Approved		
COMMD4	COMM domain containing 4	Approved	FLJ20452	COMM domain containing|CCC complex
COMMD4P1	COMM domain containing 4 pseudogene 1	Approved		
COMMD4P2	COMM domain containing 4 pseudogene 2	Approved		
COMMD5	COMM domain containing 5	Approved	"HT002, FLJ13008, HCaRG"	COMM domain containing
COMMD6	COMM domain containing 6	Approved	Acrg	COMM domain containing|CCC complex
COMMD7	COMM domain containing 7	Approved	dJ1085F17.3	CCC complex|COMM domain containing
COMMD8	COMM domain containing 8	Approved	FLJ20502	CCC complex|COMM domain containing
COMMD9	COMM domain containing 9	Approved	"HSPC166, FLJ31106"	CCC complex|COMM domain containing
COMMD10	COMM domain containing 10	Approved	PTD002	COMM domain containing|CCC complex
COMP	cartilage oligomeric matrix protein	Approved	"MED, THBS5"	
COMT	catechol-O-methyltransferase	Approved		MicroRNA protein coding host genes|Seven-beta-strand methyltransferase motif containing
COMTD1	catechol-O-methyltransferase domain containing 1	Approved	FLJ23841	Seven-beta-strand methyltransferase motif containing
COP	clathrin-ordered protein	Entry Withdrawn	CLTO	
COP1	COP1 E3 ubiquitin ligase	Approved	"FLJ10416, RNF200, FAP78, CFAP78"	Ring finger proteins|Cilia and flagella associated|Small nucleolar RNA protein coding host genes|WD repeat domain containing
COP1P1	COP1 pseudogene 1	Approved		
COPA	COPI coat complex subunit alpha	Approved	HEP-COP	WD repeat domain containing|COPI coat complex|Receptor ligands
COPB1	COPI coat complex subunit beta 1	Approved		"COPI coat complex|Clathrin/coatomer adaptor, adaptin-like, N-terminal domain containing"
COPB2	COPI coat complex subunit beta 2	Approved	"beta'-COP, betaprime-COP"	WD repeat domain containing|COPI coat complex
COPD	"symbol withdrawn, see [HGNC:649](/data/gene-symbol-report/#!/hgnc_id/HGNC:649)"	Symbol Withdrawn		
COPDA1	chronic obstructive pulmonary disease associated lncRNA 1	Approved		Long non-coding RNAs with non-systematic symbols
COPE	COPI coat complex subunit epsilon	Approved	epsilon-COP	COPI coat complex
COPG1	COPI coat complex subunit gamma 1	Approved		"COPI coat complex|MicroRNA protein coding host genes|Clathrin/coatomer adaptor, adaptin-like, N-terminal domain containing"
COPG2	COPI coat complex subunit gamma 2	Approved	2-COP	"Clathrin/coatomer adaptor, adaptin-like, N-terminal domain containing|COPI coat complex"
COPG2IT1	COPG2 imprinted transcript 1	Approved	"CIT1, NCRNA00170, COPG2AS"	Long non-coding RNAs with non-systematic symbols
COPRS	coordinator of PRMT5 and differentiation stimulator	Approved	"TTP1, HSA272196, COPR5"	
COPRSP1	COPRS pseudogene 1	Approved		
COPS2	COP9 signalosome subunit 2	Approved	"TRIP15, ALIEN, CSN2"	COP9 signalosome 
COPS3	COP9 signalosome subunit 3	Approved	"SGN3, CSN3"	COP9 signalosome 
COPS4	COP9 signalosome subunit 4	Approved	CSN4	COP9 signalosome 
COPS5	COP9 signalosome subunit 5	Approved	"JAB1, SGN5, MOV-34, CSN5"	COP9 signalosome 
COPS5P1	COP9 signalosome subunit 5 pseudogene 1	Approved		
COPS5P2	COP9 signalosome subunit 5 pseudogene 2	Approved		
COPS6	COP9 signalosome subunit 6	Approved	"MOV34-34KD, CSN6"	COP9 signalosome 
COPS7A	COP9 signalosome subunit 7A	Approved	CSN7A	COP9 signalosome 
COPS7B	COP9 signalosome subunit 7B	Approved	CSN7B	COP9 signalosome 
COPS8	COP9 signalosome subunit 8	Approved	"COP9, CSN8, MGC1297, SGN8"	COP9 signalosome 
COPS8P1	COP9 signalosome subunit 8 pseudogene 1	Approved		
COPS8P2	COP9 signalosome subunit 8 pseudogene 2	Approved		
COPS8P3	COP9 signalosome subunit 8 pseudogene 3	Approved		
COPS9	COP9 signalosome subunit 9	Approved	CSNAP	
COPT1	"symbol withdrawn, see [HGNC:11016](/data/gene-symbol-report/#!/hgnc_id/HGNC:11016)"	Symbol Withdrawn		
COPT2	"symbol withdrawn, see [HGNC:11017](/data/gene-symbol-report/#!/hgnc_id/HGNC:11017)"	Symbol Withdrawn		
COPZ1	COPI coat complex subunit zeta 1	Approved	CGI-120	COPI coat complex|MicroRNA protein coding host genes
COPZ2	COPI coat complex subunit zeta 2	Approved	MGC23008	MicroRNA protein coding host genes|COPI coat complex
COQ2	"coenzyme Q2, polyprenyltransferase"	Approved	"CL640, FLJ26072"	
COQ3	"coenzyme Q3, methyltransferase"	Approved	bA9819.1	Seven-beta-strand methyltransferase motif containing
COQ4	coenzyme Q4	Approved	CGI-92	
COQ5	"coenzyme Q5, methyltransferase"	Approved	MGC4767	Seven-beta-strand methyltransferase motif containing
COQ6	"coenzyme Q6, monooxygenase"	Approved	CGI-10	
COQ7	"coenzyme Q7, hydroxylase"	Approved	"CLK-1, CAT5"	
COQ8A	coenzyme Q8A	Approved	"COQ8, SCAR9"	
COQ8B	coenzyme Q8B	Approved	"FLJ12229, COQ8"	
COQ9	coenzyme Q9	Approved	DKFZP434K046	
COQ10A	coenzyme Q10A	Approved	FLJ32452	
COQ10B	coenzyme Q10B	Approved	FLJ13448	
